category,seasonality_level,seasonality_score,peak_to_trough_ratio,inventory_strategy,risk_level,buffer_stock_recommendation,avg_monthly_revenue
luggage_accessories,Moderate Seasonality,0.434,4.95,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),11702.498333333335
home_appliances_2,High Seasonality,0.673,13.23,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),9443.145
home_construction,Moderate Seasonality,0.439,8.67,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),6924.009999999999
home_appliances,High Seasonality,0.678,11.74,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),6680.9608333333335
agro_industry_and_commerce,Moderate Seasonality,0.507,6.99,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),6044.205833333333
furniture_living_room,Moderate Seasonality,0.528,8.76,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),5743.046666666666
small_appliances_home_oven_and_coffee,High Seasonality,0.862,37.79,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),5271.745555555555
fixed_telephony,High Seasonality,0.744,14.51,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),4965.25
home_confort,Moderate Seasonality,0.361,3.57,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),4881.003333333333
air_conditioning,Moderate Seasonality,0.447,11.71,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),4585.413333333333
audio,High Seasonality,0.685,11.26,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),4224.041666666667
books_general_interest,Moderate Seasonality,0.584,9.2,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),3904.74
kitchen_dining_laundry_garden_furniture,Moderate Seasonality,0.329,8.52,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),3860.6975
construction_tools_lights,High Seasonality,0.837,50.01,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),3423.3333333333335
construction_tools_safety,High Seasonality,0.61,6.49,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),3378.7099999999996
industry_commerce_and_business,Moderate Seasonality,0.465,25.87,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),3305.8008333333332
food,High Seasonality,0.933,15.48,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),2449.4508333333333
market_place,Moderate Seasonality,0.52,6.71,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),2364.8725
costruction_tools_garden,High Seasonality,0.638,16.72,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),2142.9908333333333
art,Very High Seasonality,1.294,128.79,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),2016.8866666666665
fashion_shoes,Moderate Seasonality,0.419,4.64,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),1963.5641666666668
drinks,High Seasonality,0.687,15.91,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),1869.0583333333334
signaling_and_security,High Seasonality,0.978,14.0,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),1792.4358333333332
furniture_bedroom,High Seasonality,0.632,20.84,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),1669.0649999999998
books_technical,Moderate Seasonality,0.538,4.95,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),1591.3383333333334
costruction_tools_tools,Very High Seasonality,1.061,20.41,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),1325.3291666666667
portateis_cozinha_e_preparadores_de_alimentos,High Seasonality,0.755,11.38,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),1322.8433333333332
food_drink,High Seasonality,0.641,7.92,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),1264.9566666666667
fashion_male_clothing,Moderate Seasonality,0.347,3.52,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),899.8183333333333
fashion_underwear_beach,High Seasonality,0.635,13.44,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),795.1291666666666
christmas_supplies,High Seasonality,0.694,8.09,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),733.4016666666666
music,High Seasonality,0.879,39.24,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),670.4833333333332
cine_photo,Very High Seasonality,1.043,33.86,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),630.3145454545455
tablets_printing_image,High Seasonality,0.82,15.81,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),627.3675
dvds_blu_ray,Very High Seasonality,1.258,48.33,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),499.9491666666667
arts_and_craftmanship,Very High Seasonality,1.001,56.4,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),453.5025
furniture_mattress_and_upholstery,High Seasonality,0.604,9.95,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),436.808
books_imported,Moderate Seasonality,0.407,3.51,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),421.80454545454546
party_supplies,Very High Seasonality,1.048,29.34,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),407.74363636363637
pc_gamer,High Seasonality,0.826,5.21,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),257.65833333333336
la_cuisine,Moderate Seasonality,0.514,4.2,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),256.87375
fashio_female_clothing,Moderate Seasonality,0.546,8.89,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),254.87636363636366
fashion_sport,High Seasonality,0.801,8.27,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),192.6827272727273
diapers_and_hygiene,Moderate Seasonality,0.454,4.22,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),156.759
security_and_services,Moderate Seasonality,0.416,1.83,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),141.64499999999998
flowers,High Seasonality,0.651,17.35,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),123.33777777777777
cds_dvds_musicals,High Seasonality,0.621,5.0,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),121.66666666666667
fashion_childrens_clothes,High Seasonality,0.606,5.0,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),94.97500000000001
home_comfort_2,Very High Seasonality,1.413,29.29,Dynamic inventory with 60-80% seasonal adjustment,High,Low (10-15%),76.027
